"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Nodule.lobes",1,9526788971598950,9526788971598950,14.0226930874331,0.000247407699826152
"Host",2,963192990263323,481596495131662,0.708872618397182,0.493656292298011
"Strain",7,9279168374579338,1325595482082762,1.95117354428127,0.0645410467137763
"rep",3,2523267617922302,841089205974101,1.23801795439036,0.297590909206051
"Nodule.lobes:Host",2,71806750586359,35903375293179.5,0.0528469785612018,0.948540814473985
"Nodule.lobes:Strain",7,9311674992923556,1330239284703365,1.9580088608923,0.0635591583146607
"Host:Strain",14,3530811549970802,252200824997914,0.371220017141789,0.981206692077531
"Nodule.lobes:Host:Strain",13,4985488546784203,383499118983400,0.564480903359678,0.879537008115717
"Residuals",169,114815843587356688,679383689866016,NA,NA
