"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Nodule.area",1,7376675441481057,7376675441481057,11.377515268388,0.000891767716129954
"Strain",7,8849597397245226,1264228199606461,1.94989948491773,0.0636214786732893
"Host",2,762027526336888,381013763168444,0.587661737635645,0.556576714918563
"Nodule.area:Strain",7,7700272661444269,1100038951634896,1.6966599747182,0.11153942652181
"Residuals",201,130319470355478096,648355573907851,NA,NA
