"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Nodule.lobes",1,0.237916715203636,0.237916715203636,481.444724009502,6.22043503620818e-51
"Host",2,0.000597625360165362,0.000298812680082681,0.604672892233791,0.547451751942248
"Strain",7,0.0200237851957992,0.00286054074225703,5.7885476730591,5.14152356185757e-06
"rep",2,0.00267231684518184,0.00133615842259092,2.70383029812202,0.0698976242112527
"Nodule.lobes:Host",2,0.000383431036298094,0.000191715518149047,0.387952669254892,0.679057946360803
"Nodule.lobes:Strain",7,0.0211820463231829,0.00302600661759756,6.12338195579592,2.23952430292822e-06
"Host:Strain",14,0.00696764918930663,0.000497689227807616,1.00711651436199,0.44861349844845
"Nodule.lobes:Host:Strain",13,0.00741701468992029,0.00057053959153233,1.15453542617496,0.317580075897663
"Residuals",166,0.0820326254588349,0.000494172442523102,NA,NA
