"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Nodule.lobes",1,14.5299196625678,14.5299196625678,435.17980281267,1.2749834518604e-48
"Host",2,0.01321089881759,0.006605449408795,0.197837168956547,0.8206931960008
"Strain",7,0.700576848158967,0.100082406879852,2.99752807327598,0.00542624852885753
"rep",3,0.329792974032815,0.109930991344272,3.2924990810133,0.0220097701749872
"Nodule.lobes:Host",2,0.00914023445481579,0.0045701172274079,0.13687775019003,0.872173411271118
"Nodule.lobes:Strain",7,0.338196417788817,0.0483137739698311,1.44702648862487,0.189628724842647
"Host:Strain",14,0.561816646976244,0.0401297604983032,1.20191037983241,0.27803832742446
"Nodule.lobes:Host:Strain",13,0.518627770197107,0.0398944438613159,1.19486250551095,0.286795099325627
"Residuals",169,5.64262497271959,0.0333883134480449,NA,NA
