"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",4266964.51612904,4626447.3881005,0.922298290282935,0.357436468021994
"lobe_occ",17170800.1897533,6396830.56462575,2.68426684375654,0.00785170113984306
"HostS",-2692577.41935485,6542784.64185732,-0.41153386008293,0.681102825870106
"HostV",-1492788.04554081,6396830.56462576,-0.23336369948516,0.8157074002667
"lobe_occ:HostS",53795.6193699375,8907126.63396925,0.00603961542039565,0.995186874289616
"lobe_occ:HostV",-7769731.00823285,8652127.61663638,-0.898013916634003,0.370211470106805
