"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"as.factor(Nodule.lobes)",4,54.6939057848597,13.6734764462149,12.935265709607,1.76440568001504e-09
"Host",2,12.2858804684817,6.14294023424083,5.81129199152106,0.00346987628233549
"as.factor(Strain)",7,7.64592461876997,1.09227494553857,1.03330463939176,0.40862913753774
"rep",3,4.2874391636848,1.42914638789493,1.35198889163724,0.258428787431959
"as.factor(Nodule.lobes):Host",8,7.78824020003097,0.973530025003872,0.920970581200758,0.499869831744936
"Residuals",221,233.612386668577,1.05706962293474,NA,NA
