"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",5689006.71876015,4832150.00440353,1.17732411319511,0.240405139267425
"Nodule.area",141729005.849608,66876540.4942943,2.1192634188621,0.0352484072206669
"HostS",-1700065.91017166,7138715.83885101,-0.238147301076112,0.812000167453714
"HostV",-1352714.44837604,6629911.12405198,-0.204032063637877,0.838526977442382
"Nodule.area:HostS",7985251.66343734,110378816.897808,0.0723440591941686,0.942397286244212
"Nodule.area:HostV",-61967678.1281367,98125635.260205,-0.631513650472822,0.528394819055272
