"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Nodule.area",1,82.2627861331426,82.2627861331426,113.551278144217,7.68830907218812e-22
"Nodule.lobes",3,4.27095036001339,1.42365012000446,1.96513269675831,0.119959444275219
"Host",2,10.6395761785857,5.31978808929283,7.3431592265535,0.000808684032263295
"Strain",7,8.63917579223401,1.23416797031914,1.70358137697371,0.108976739631584
"rep",3,1.83101610327483,0.61033870109161,0.842479848636096,0.471835768527303
"Nodule.area:Nodule.lobes",3,55.1440541420029,18.3813513806676,25.3726629184987,3.11492656055611e-14
"Residuals",232,168.073549631472,0.724454955308067,NA,NA
