"Strain","Variety","Source_variety","Rep","Rootweight_g","Shootweight_g","Nod_lobe","Nod_unlobed","Label","Nod_count","prop_lobe","Biomass_g"
"089","S","VL","a",0.137,0.308,18,65,"089_S_a",83,0.216867469879518,0.445
"089","S","VL","b",0.327,0.47,17,26,"089_S_b",43,0.395348837209302,0.797
"089","O","VL","b",0.162,0.312,11,27,"089_O_b",38,0.289473684210526,0.474
"089","V","VL","b",0.179,0.412,17,23,"089_V_b",40,0.425,0.591
"089","S","VL","c",0.024,0.069,4,28,"089_S_c",32,0.125,0.093
"089","O","VL","c",0.204,0.357,18,26,"089_O_c",44,0.409090909090909,0.561
"089","V","VL","c",0.183,0.406,14,22,"089_V_c",36,0.388888888888889,0.589
"089","V","VL","d",0.109,0.142,12,13,"089_V_d",25,0.48,0.251
"089","O","VL","d",0.276,0.375,20,42,"089_O_d",62,0.32258064516129,0.651
"090","V","VL","a",0.102,0.293,7,40,"090_V_a",47,0.148936170212766,0.395
"090","O","VL","a",0.043,0.095,9,10,"090_O_a",19,0.473684210526316,0.138
"090","O","VL","b",0.222,0.346,11,9,"090_O_b",20,0.55,0.568
"090","V","VL","b",0.134,0.345,10,7,"090_V_b",17,0.588235294117647,0.479
"090","S","VL","b",0.17,0.359,9,24,"090_S_b",33,0.272727272727273,0.529
"090","S","VL","c",0.133,0.303,14,23,"090_S_c",37,0.378378378378378,0.436
"090","V","VL","c",0.123,0.212,13,9,"090_V_c",22,0.590909090909091,0.335
"090","O","VL","c",0.128,0.288,7,24,"090_O_c",31,0.225806451612903,0.416
"090","O","VL","d",0.142,0.255,6,1,"090_O_d",7,0.857142857142857,0.397
"090","V","VL","d",0.257,0.3,18,4,"090_V_d",22,0.818181818181818,0.557
"091","S","ON","a",0.171,0.283,6,37,"091_S_a",43,0.13953488372093,0.454
"091","O","ON","a",0.15,0.202,12,17,"091_O_a",29,0.413793103448276,0.352
"091","V","ON","a",0.158,0.276,12,26,"091_V_a",38,0.31578947368421,0.434
"091","V","ON","b",0.077,0.105,13,25,"091_V_b",38,0.342105263157895,0.182
"091","O","ON","b",0.022,0.085,4,24,"091_O_b",28,0.142857142857143,0.107
"091","O","ON","c",0.16,0.201,3,35,"091_O_c",38,0.0789473684210526,0.361
"091","V","ON","c",0.182,0.251,10,12,"091_V_c",22,0.454545454545455,0.433
"091","S","ON","c",0.196,0.312,9,49,"091_S_c",58,0.155172413793103,0.508
"091","V","ON","d",0.14,0.27,12,22,"091_V_d",34,0.352941176470588,0.41
"091","O","ON","d",0.14,0.252,0,10,"091_O_d",10,0,0.392
"092","O","SN","a",0.063,0.131,6,12,"092_O_a",18,0.333333333333333,0.194
"092","S","SN","a",0.382,0.543,15,50,"092_S_a",65,0.230769230769231,0.925
"092","V","SN","a",0.06,0.044,0,15,"092_V_a",15,0,0.104
"092","V","SN","b",0.183,0.236,7,12,"092_V_b",19,0.368421052631579,0.419
"092","O","SN","b",0.041,0.156,7,9,"092_O_b",16,0.4375,0.197
"092","S","SN","b",0.137,0.232,8,24,"092_S_b",32,0.25,0.369
"092","O","SN","c",0.081,0.183,5,6,"092_O_c",11,0.454545454545455,0.264
"092","S","SN","c",0.088,0.196,14,15,"092_S_c",29,0.482758620689655,0.284
"092","V","SN","c",0.243,0.325,10,36,"092_V_c",46,0.217391304347826,0.568
"092","S","SN","d",0.17,0.162,9,17,"092_S_d",26,0.346153846153846,0.332
"092","V","SN","d",0.206,0.296,8,0,"092_V_d",8,1,0.502
"092","O","SN","d",0.264,0.372,9,30,"092_O_d",39,0.230769230769231,0.636
"093","O","SN","a",0.196,0.364,5,6,"093_O_a",11,0.454545454545455,0.56
"093","V","SN","a",0.139,0.235,7,24,"093_V_a",31,0.225806451612903,0.374
"093","S","SN","a",0.198,0.335,4,49,"093_S_a",53,0.0754716981132075,0.533
"093","V","SN","b",0.135,0.244,7,15,"093_V_b",22,0.318181818181818,0.379
"093","O","SN","b",0.105,0.212,11,20,"093_O_b",31,0.354838709677419,0.317
"093","S","SN","b",0.049,0.097,6,11,"093_S_b",17,0.352941176470588,0.146
"093","O","SN","c",0.35,0.371,13,12,"093_O_c",25,0.52,0.721
"093","V","SN","c",0.315,0.398,16,15,"093_V_c",31,0.516129032258065,0.713
"093","S","SN","c",0.354,0.455,11,15,"093_S_c",26,0.423076923076923,0.809
"093","V","SN","d",0,0.394,10,5,"093_V_d",15,0.666666666666667,0.394
"093","S","SN","d",0.323,0.583,16,25,"093_S_d",41,0.390243902439024,0.906
"093","O","SN","d",0.589,0.556,19,33,"093_O_d",52,0.365384615384615,1.145
"094","V","SN","a",0.123,0.218,7,30,"094_V_a",37,0.189189189189189,0.341
"094","S","SN","a",0.264,0.39,27,59,"094_S_a",86,0.313953488372093,0.654
"094","V","SN","b",0.292,0.385,11,21,"094_V_b",32,0.34375,0.677
"094","O","SN","b",0.191,0.263,7,10,"094_O_b",17,0.411764705882353,0.454
"094","S","SN","b",0.208,0.409,11,11,"094_S_b",22,0.5,0.617
"094","S","SN","c",0.36,0.429,23,5,"094_S_c",28,0.821428571428571,0.789
"094","V","SN","c",0.184,0.247,6,30,"094_V_c",36,0.166666666666667,0.431
"094","O","SN","c",0.11,0.17,9,14,"094_O_c",23,0.391304347826087,0.28
"094","O","SN","d",0.156,0.251,7,41,"094_O_d",48,0.145833333333333,0.407
"094","S","SN","d",0.309,0.508,10,28,"094_S_d",38,0.263157894736842,0.817
"094","V","SN","d",0.222,0.366,8,54,"094_V_d",62,0.129032258064516,0.588
"095","S","VL","a",0.286,0.43,10,24,"095_S_a",34,0.294117647058824,0.716
"095","O","VL","a",0.03,0.096,6,31,"095_O_a",37,0.162162162162162,0.126
"095","V","VL","a",0.226,0.306,5,59,"095_V_a",64,0.078125,0.532
"095","O","VL","b",0.023,0.09,0,10,"095_O_b",10,0,0.113
"095","V","VL","b",0.122,0.269,2,20,"095_V_b",22,0.0909090909090909,0.391
"095","S","VL","b",0.333,0.405,23,23,"095_S_b",46,0.5,0.738
"095","S","VL","c",0.328,0.506,22,62,"095_S_c",84,0.261904761904762,0.834
"095","O","VL","c",0.3,0.347,18,21,"095_O_c",39,0.461538461538462,0.647
"095","V","VL","c",0.241,0.245,16,30,"095_V_c",46,0.347826086956522,0.486
"095","O","VL","d",0.186,0.332,63,35,"095_O_d",98,0.642857142857143,0.518
"095","S","VL","d",0.234,0.309,11,48,"095_S_d",59,0.186440677966102,0.543
"095","V","VL","d",0.374,0.47,16,36,"095_V_d",52,0.307692307692308,0.844
"096","V","VL","a",0.046,0.129,11,13,"096_V_a",24,0.458333333333333,0.175
"096","O","VL","a",0.205,0.39,10,23,"096_O_a",33,0.303030303030303,0.595
"096","S","VL","a",0.195,0.263,14,88,"096_S_a",102,0.137254901960784,0.458
"096","V","VL","b",0.072,0.167,17,19,"096_V_b",36,0.472222222222222,0.239
"096","O","VL","b",0.063,0.169,6,35,"096_O_b",41,0.146341463414634,0.232
"096","S","VL","b",0.141,0.381,13,7,"096_S_b",20,0.65,0.522
"096","O","VL","c",0.285,0.452,15,20,"096_O_c",35,0.428571428571429,0.737
"096","V","VL","c",0.223,0.485,21,9,"096_V_c",30,0.7,0.708
"096","S","VL","c",0.264,0.57,39,75,"096_S_c",114,0.342105263157895,0.834
"096","S","VL","d",0.258,0.376,6,36,"096_S_d",42,0.142857142857143,0.634
"096","V","VL","d",0.191,0.33,11,27,"096_V_d",38,0.289473684210526,0.521
"096","O","VL","d",0.139,0.256,13,20,"096_O_d",33,0.393939393939394,0.395
"097","S","ON","a",0.208,0.319,10,31,"097_S_a",41,0.24390243902439,0.527
"097","V","ON","a",0.08,0.139,6,9,"097_V_a",15,0.4,0.219
"097","O","ON","a",0.016,0.072,10,12,"097_O_a",22,0.454545454545455,0.088
"097","O","ON","b",0.033,0.099,4,30,"097_O_b",34,0.117647058823529,0.132
"097","S","ON","b",0.335,0.439,11,65,"097_S_b",76,0.144736842105263,0.774
"097","V","ON","b",0.076,0.119,7,12,"097_V_b",19,0.368421052631579,0.195
"097","S","ON","c",0.254,0.371,21,18,"097_S_c",39,0.538461538461538,0.625
"097","V","ON","c",0.049,0.142,8,15,"097_V_c",23,0.347826086956522,0.191
"097","O","ON","c",0.082,0.079,6,14,"097_O_c",20,0.3,0.161
"097","O","ON","d",0.116,0.307,5,10,"097_O_d",15,0.333333333333333,0.423
"097","V","ON","d",0.085,0.211,12,26,"097_V_d",38,0.31578947368421,0.296
"098","O","ON","a",0.168,0.295,9,38,"098_O_a",47,0.191489361702128,0.463
"098","S","ON","a",0.028,0.098,5,9,"098_S_a",14,0.357142857142857,0.126
"098","V","ON","a",0.047,0.105,2,17,"098_V_a",19,0.105263157894737,0.152
"098","O","ON","b",0.036,0.073,11,16,"098_O_b",27,0.407407407407407,0.109
"098","S","ON","b",0.116,0.171,8,37,"098_S_b",45,0.177777777777778,0.287
"098","V","ON","b",0.053,0.108,5,5,"098_V_b",10,0.5,0.161
"098","V","ON","c",0.069,0.175,6,44,"098_V_c",50,0.12,0.244
"098","O","ON","c",0.002,0.002,0,2,"098_O_c",2,0,0.004
"098","S","ON","c",0.116,0.256,27,55,"098_S_c",82,0.329268292682927,0.372
