"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Nodule.lobes",3,17.0654921782546,5.68849739275153,156.933429951534,1.68453999691717e-48
"Host",2,0.042049397517145,0.0210246987585725,0.580026299051285,0.56100082235325
"Strain",7,0.961452299051939,0.137350328435991,3.78920067255296,0.000762485760736898
"rep",3,0.37183248558388,0.123944161861293,3.41935331958594,0.0186813401750958
"Nodule.lobes:Host",6,0.235839339403541,0.0393065565672568,1.08438350513156,0.373788408540332
"Nodule.lobes:Strain",20,0.763398358734205,0.0381699179367102,1.05302608566005,0.404060176359105
"Host:Strain",14,0.611391342472544,0.0436708101766103,1.20478389222973,0.275979994730489
"Nodule.lobes:Host:Strain",28,0.814994562959935,0.0291069486771405,0.802998221841053,0.7481654450916
"Residuals",168,6.08963662030069,0.0362478370255993,NA,NA
