"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Nodule.lobes",1,16.4468546869292,16.4468546869292,455.850133621275,3.77578432366095e-53
"Host",2,0.0109108338665953,0.00545541693329764,0.151205357215193,0.859770814767857
"Strain",7,0.940037634330029,0.134291090618576,3.72208624493261,0.000831351770251459
"rep",3,0.313657708422139,0.104552569474046,2.89783692216049,0.0362612377590725
"Nodule.lobes:Host",2,0.0245590649400735,0.0122795324700368,0.340346322979412,0.711941398894811
"Nodule.lobes:Strain",7,0.340685815794531,0.0486694022563616,1.34894810856826,0.22919380747622
"Host:Strain",14,0.543182664535907,0.0387987617525648,1.07536796949405,0.382004086935336
"Nodule.lobes:Host:Strain",13,0.524008170444261,0.0403083208034047,1.11720774421897,0.34630502921871
"Residuals",197,7.10766573124862,0.0360795214784194,NA,NA
