"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Nodule.lobes",3,66.7971334402488,22.2657111467496,21.658212187556,2.02399566837382e-12
"Host",2,13.7725763976815,6.88628819884074,6.69840231071749,0.00148189780974395
"as.factor(Strain)",7,7.90049807075236,1.12864258153605,1.09784863163408,0.365223440499836
"rep",3,3.37098102889672,1.12366034296557,1.09300232875082,0.352790490868033
"Nodule.lobes:Host",6,5.67299709422993,0.945499515704988,0.919702451873382,0.481381415178717
"Residuals",235,241.591599259172,1.02804935854967,NA,NA
