"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Nodule.area",1,65.6334275912808,65.6334275912808,91.1925563601937,4.38662087760785e-18
"Nodule.lobes",1,0.995817631926174,0.995817631926174,1.383611352578,0.240864497273418
"Host",2,5.52640984765677,2.76320492382839,3.83925889594193,0.0230883044649844
"Strain",7,9.08941112332203,1.29848730333172,1.80414738248113,0.0881094419538848
"rep",3,1.79709157416545,0.599030524721818,0.832306446455158,0.477503246279924
"Nodule.area:Nodule.lobes",1,38.0388021855796,38.0388021855796,52.8519649131285,7.62639840178097e-12
"Residuals",203,146.103874404006,0.719723519231557,NA,NA
