Plant,Nodule,Ind.Label,Nodule.area,Nodule.lobes,dilution.counted,spot.1,spot.2,spot.3,spot.4,spot.5,spot.avg,Counted by,Comments,Lianas rhizobia released per nodule calculation,Morphology
117.O.c,6,117.O.c.6,0.259,more than 5,6,7,6,6,11,8,7.6,MAG,Uncountable din dil6,38000000,P
117.S.a,1,117.S.a.1,0.022,1,4,25,18,19,19,23,20.8,MAG,,1040000,P
117.S.a,2,117.S.a.2,0.019,1,,,,,,,#DIV/0!,,Empty plate. Try dil4. Maybe the plate was dry,#DIV/0!,P
117.S.a,3,117.S.a.3,0.033,1,4,31,32,33,c,21,29.25,MAG,,1462500,P
117.S.a,4,117.S.a.4,0.161,more than 5,,,,,,,#DIV/0!,,I see maybe very few colonies through contamination. Try dil4 in bigger plate,#DIV/0!,P
117.S.a,5,117.S.a.5,0.124,more than 5,5,C,11,C,C,C,11,,There is a lot of contamination but I can count one dot through the contamination. ,5500000,P
117.S.a,6,117.S.a.6,0.194,more than 5,6,2,1,2,1,2,1.6,MAG,,8000000,P
117.S.b,1,117.S.b.1,0.021,1,4,c,4,4,c,6,4.666666667,,,233333.3333,P
117.S.b,2,117.S.b.2,0.027,1,4,32,c,30,c,28,30,,Countable through contamination,1500000,P
117.S.b,3,117.S.b.3,0.035,1,,,,,,,#DIV/0!,,"Heave contamination, maybe dil6. Dil6 also has high contamination",#DIV/0!,P
117.S.b,4,117.S.b.4,0.06,2,6,2,1,2,1,3,1.8,MAG,,9000000,P
117.S.b,5,117.S.b.5,0.071,2,6,7,7,3,c,c,5.666666667,MAG,Countable through contamination,28333333.33,P
117.S.b,6,117.S.b.6,0.16,more than 5,5,4,3,C,8,C,5,MAG,,2500000,P
117.S.d,1,117.S.d.1,0.012,1,,,,,,,#DIV/0!,,Not rhizobia in dil3. Go up one dilution. Dil2 in big plate,#DIV/0!,P
117.S.d,2,117.S.d.2,0.017,2,3,6,3,2,2,6,3.8,MAG,,19000,P
117.S.d,3,117.S.d.3,0.023,2,3,12,17,13,9,16,13.4,MAG,,67000,P
117.S.d,4,117.S.d.4,0.03,2,,,,,,,#DIV/0!,,I don't see any rhizo in dil5. Maybe dil 4 in a bigger plate,#DIV/0!,P
117.S.d,5,117.S.d.5,0.13,5,6,13,10,C,15,14,13,MAG,,65000000,P
117.S.d,6,117.S.d.6,0.142,more than 5,6,7,C,C,C,7,7,MAG,,35000000,P
117.V.a,1,117.V.a.1,0.024,1,3,c,4,5,4,3,4,MAG,It was countable through the contamination,20000,P
117.V.a,2,117.V.a.2,0.038,2,3,c,7,9,11,c,9,MAG,It was countable through the contamination,45000,P
117.V.a,3,117.V.a.3,0.038,2,4,7,3,9,11,NA,7.5,,I can see a lot of rhizo in dil3 with the contaminants. After incubation I saw them in dil4. ,375000,P
117.V.a,4,117.V.a.4,0.034,1,4,NA,NA,NA,NA,NA,#DIV/0!,,There is cont but it is the contamination that allows count. Plate Dil4. I plated dil4 but I see mostly contamination ,#DIV/0!,P
117.V.a,5,117.V.a.5,0.049,more than 5,,,,,,,#DIV/0!,,Not rhizobia in dil5. There are contaminants. Move to dil4 in big plate,#DIV/0!,P
117.V.a,6,117.V.a.6,0.132,more than 5,,,,,,,#DIV/0!,,Not rhizobia in dil5. There is one contaminant. Dil4 in big plate.,#DIV/0!,P
117.V.b,1,117.V.b.1,0.016,1,,,,,,,#DIV/0!,,Not rhizobia in dil3. There are contaminants. Move to dil2 big plate.,#DIV/0!,P
117.V.b,2,117.V.b.2,0.039,1,6,3,10,5,9,12,7.8,,,39000000,P
117.V.b,3,117.V.b.3,0.055,2,6,8,10,5,5,5,6.6,,Heavy contamination. I don't see rhizo,33000000,P
117.V.b,4,117.V.b.4,0.073,4,,,,,,,#DIV/0!,,,#DIV/0!,P
117.V.b,5,117.V.b.5,0.121,4,6,c,6,4,4,2,4,MAG,Countable through contamination,20000000,P
117.V.b,6,117.V.b.6,0.276,more than 5,6,2,3,2,3,5,3,MAG,Countable through contamination,15000000,P
117.V.c,1,117.V.c.1,0.11,1,,,,,,,#DIV/0!,,Heave contamination. I don't see rhizo. needs dil2 in a big plate,#DIV/0!,P
117.V.c,2,117.V.c.2,0.02,1,3,6,5,5,5,5,5.2,MAG,,26000,P
117.V.c,3,117.V.c.3,0.035,2,3,C,19,19,18,17,18.25,MAG,,91250,P
117.V.c,4,117.V.c.4,0.054,2,,,,,,,#DIV/0!,,Contamination in dil5 is very dense so I can't see rhizo. ,#DIV/0!,P
117.V.c,5,117.V.c.5,0.08,2,5,20,12,8,6,14,12,MAG,,6000000,P
117.V.c,6,117.V.c.6,0.1,more than 5,6,C,1,2,C,1,1.333333333,MAG,,6666666.667,P
059.O.a,7,059.O.a.7,0.036,1,2,0,4,4,8,NA,,MAG,DSN,DSN: Done with stored nodules. Not reliable,
059.O.a,8,059.O.a.8,0.015,1,,,,,,,,,DSN,,
059.O.a,9,059.O.a.9,,,,,,,,,,,DSN,,
059.O.b,7,059.O.b.7,0.04,2,,,,,,,,,DSN,,
059.O.b,8,059.O.b.8,,,,,,,,,,,DSN,,
059.O.b,9,059.O.b.9,,,,,,,,,,,DSN,,
059.S.b,7,059.S.b.7,0.07,3,3,1,1,5,6,NA,,MAG,DSN,,
059.S.b,8,059.S.b.8,,,3,3,4,6,2,NA,,MAG,DSN,,
059.S.b,9,059.S.b.9,0.075,4,,,,,,,,,DSN,,
059.S.c,7,059.S.c.7,0.081,5,,,,,,,,,DSN,,
059.S.c,8,059.S.c.8,0.054,3,2,1,1,3,1,NA,,MAG,DSN,,
059.S.c,9,059.S.c.9,0.066,3,2,2,2,1,4,NA,,MAG,DSN,,
044.O.b,7,044.O.b.7,0.053,3,,,,,,,,,DSN,,
044.O.b,8,044.O.b.8,0.033,2,,,,,,,,,DSN,,
044.O.b,9,044.O.b.9,0.048,2,2,cont,cont,cont,cont,,,,DSN,,
044.O.a,7,044.O.a.7,0.177,More than 5,4,2,3,6,9,NA,,MAG,DSN,,
044.O.c,7,044.O.c.7,0.111,5,,,,,,,,,DSN,,
044.S.a,7,044.S.a.7,0.023,1,,,,,,,,,DSN,,
044.S.b,7,044.S.b.7,0.016,2,,,,,,,,,DSN,,
044.S.c,7,044.S.c.7,0.062,3,,,,,,,,,DSN,,
044.S.c,8,044.S.c.8,0.056,2,,,,,,,,,DSN,,
044.S.c,9,044.S.c.9,0.049,3,2,12,10,11,10,NA,,MAG,DSN,,
044.S.c,10,044.S.c.10,0.018,1,,,,,,,,,DSN,,
070.V.c,7,070.V.c.7,0.062,2,,,,,,,,,DSN,,
070.V.c,8,070.V.c.8,0.086,3,1,1,1,0,0,NA,,MAG,DSN,,
070.V.c,9,070.V.c.9,0.021,1,,,,,,,,,DSN,,
070.V.a,7,070.V.a.7,,,,,,,,,,,DSN,,
070.V.a,8,070.V.a.8,,,,,,,,,,,DSN,,
070.V.a,9,070.V.a.9,,,,,,,,,,,DSN,,
070.V.a,10,070.V.a.10,,,1,8,13,13,M,,,MAG,DSN,,
070.V.b,7,070.V.b.7,0.023,2,1,1,0,0,0,,,MAG,DSN,,
070.V.b,8,070.V.b.8,0.006,1,,,,,,,,,DSN,,
059.O.c,7,059.O.c.7,0.06,5,,,,,,,,,DSN,,
059.O.c,8,059.O.c.8,0.009,1,,,,,,,,,DSN,,
059.O.c,9,059.O.c.9,0.012,1,,,,,,,,,DSN,,
