Plant,Nodule,Ind.Label,Nodule.area,Nodule.lobes,dilution.counted,spot.1,spot.2,spot.3,spot.4,spot.5,spot.avg,Counted by,Comments,Lianas rhizobia released per nodule calculation,Morphology
070.O.a,2,070.O.a.2,0.02,1,,,,,,,#DIV/0!,SG,"Conta,Merged",#DIV/0!,R
070.O.a,3,070.O.a.3,0.024,1,4,24,20,33,8,12,19.4,SG,,970000,R
070.O.a,4,070.O.a.4,0.105,4,,,,,,,#DIV/0!,SG,Merged,#DIV/0!,R
070.O.a,5,070.O.a.5,0.147,5,,,,,,,#DIV/0!,SG,Conta,#DIV/0!,R
070.O.a,6,070.O.a.6,0.225,more than 5,,,,,,,#DIV/0!,SG,Merged,#DIV/0!,R
070.O.b,1,070.O.b.1,0.035,1,,,,,,,#DIV/0!,SG,Conta,#DIV/0!,R
070.O.b,2,070.O.b.2,0.028,1,4,91,107,100,100,99,99.4,SG,,4970000,R
070.O.b,3,070.O.b.3,0.058,5,4,38,23,22,35,30,29.6,SG,,1480000,R
070.O.b,4,070.O.b.4,0.057,2,6,27,28,28,26,26,27,SG,,135000000,R
070.O.b,5,070.O.b.5,0.086,3,6,102,77,68,70,68,77,SG,,385000000,R
070.O.b,6,070.O.b.6,0.129,more than 5,6,38,41,31,35,57,40.4,SG,,202000000,R
070.O.c,1,070.O.c.1,0.023,1,3,32,33,37,44,27,34.6,SG,,173000,R
070.O.c,2,070.O.c.2,0.028,1,4,66,27,17,19,55,36.8,SG,,1840000,R
070.O.c,3,070.O.c.3,0.047,1,4,64,60,74,82,83,72.6,SG,,3630000,R
070.O.c,4,070.O.c.4,0.073,2,6,11,16,16,12,10,13,SG,,65000000,R
070.O.c,5,070.O.c.5,0.089,more than 5,,,,,,,#DIV/0!,SG,Merged,#DIV/0!,R
070.O.c,6,070.O.c.6,0.066,more than 5,,,,,,,#DIV/0!,SG,Merged,#DIV/0!,R
070.S.a,1,070.S.a.1,0.023,1,3,3,2,6,2,4,3.4,SG,,17000,R
070.S.a,2,070.S.a.2,0.022,1,,,,,,,#DIV/0!,SG,Merged,#DIV/0!,R
070.S.a,3,070.S.a.3,0.054,1,,,,,,,#DIV/0!,SG,Merged,#DIV/0!,R
070.S.a,4,070.S.a.4,0.069,4,,,,,,,#DIV/0!,SG,Merged,#DIV/0!,R
070.S.a,5,070.S.a.5,0.09,2,,,,,,,#DIV/0!,SG,Merged,#DIV/0!,R
070.S.a,6,070.S.a.6,0.086,5,6,4,12,5,3,11,7,SG,,35000000,R
070.S.b,1,070.S.b.1,0.04,1,4,19,26,30,23,27,25,SG,,1250000,R
070.S.b,2,070.S.b.2,0.043,1,4,11,11,11,15,5,10.6,SG,,530000,R
070.S.b,3,070.S.b.3,0.042,2,4,9,18,16,10,11,12.8,SG,,640000,R
070.S.b,4,070.S.b.4,0.049,2,6,46,53,41,45,37,44.4,SG,,222000000,R
070.S.b,5,070.S.b.5,0.059,3,,,,,,,#DIV/0!,SG,,#DIV/0!,R
070.S.b,6,070.S.b.6,0.112,3,,,,,,,#DIV/0!,SG,,#DIV/0!,R
070.S.c,1,070.S.c.1,0.031,1,4,21,36,10,8,10,17,SG,,850000,R
070.S.c,2,070.S.c.2,0.04,1,4,31,41,43,43,55,42.6,SG,,2130000,R
070.S.c,3,070.S.c.3,0.048,1,4,12,5,6,7,8,7.6,SG,,380000,R
070.S.c,4,070.S.c.4,0.055,2,6,4,3,7,6,4,4.8,SG,,24000000,R
070.S.c,5,070.S.c.5,0.129,More than 5,,,,,,,#DIV/0!,SG,merged,#DIV/0!,R
070.S.c,6,070.S.c.6,0.156,More than 5,,,,,,,#DIV/0!,SG,merged,#DIV/0!,R
070.V.a,1,070.V.a.1,0.019,1,3,1,1,2,1,1,1.2,MAG,,6000,R
070.V.a,2,070.V.a.2,0.021,2,,,,,,,#DIV/0!,MAG,Dilution 3 has one colony and ilution 4 has one colony,#DIV/0!,R
070.V.a,3,070.V.a.3,0.026,1,,,,,,,#DIV/0!,MAG,Merged,#DIV/0!,R
070.V.a,4,070.V.a.4,0.041,2,,,,,,,#DIV/0!,MAG,Merged,#DIV/0!,R
070.V.a,5,070.V.a.5,0.042,2,6,7,12,10,15,10,10.8,MAG,,54000000,R
070.V.a,6,070.V.a.6,0.062,2,,,,,,,#DIV/0!,MAG,Merged,#DIV/0!,R
070.V.b,1,070.V.b.1,0.017,1,4,60,52,55,45,56,53.6,MAG,,2680000,R
070.V.b,2,070.V.b.2,0.019,2,,,,,,,#DIV/0!,MAG,"Very few colonies in dil3, only three dots grew,1,1,1,0,0",#DIV/0!,R
070.V.b,3,070.V.b.3,0.023,1,,,,,,,#DIV/0!,MAG,I only see one colony in all dil3,#DIV/0!,R
070.V.b,4,070.V.b.4,0.018,1,,,,,,,#DIV/0!,MAG,Empty plate,#DIV/0!,R
070.V.b,5,070.V.b.5,0.028,3,,,,,,,#DIV/0!,MAG,Merged,#DIV/0!,R
070.V.b,6,070.V.b.6,0.036,1,,,,,,,#DIV/0!,MAG,"Dil5 seems to have only 3 dots, with colonies 9,1,3. The other dots dont have anything",#DIV/0!,R
070.V.c,1,070.V.c.1,0.022,1,3,3,3,1,3,1,2.2,MAG,,11000,R
070.V.c,2,070.V.c.2,0.016,1,,,,,,,#DIV/0!,MAG,Merged,#DIV/0!,R
070.V.c,3,070.V.c.3,0.044,1,,,,,,,#DIV/0!,MAG,Merged,#DIV/0!,R
070.V.c,4,070.V.c.4,0.052,3,,,,,,,#DIV/0!,MAG,"I only see three colonies in dil5: 0,1,1,1,0",#DIV/0!,R
070.V.c,5,070.V.c.5,0.078,3,,,,,,,#DIV/0!,MAG,Merged,#DIV/0!,R
070.V.c,6,070.V.c.6,0.13,more than 5,5,28,30,26,23,25,26.4,SG,,13200000,R
077.O.a,1,077.O.a.1,0.016,1,4,22,23,13,21,23,20.4,SG,,1020000,R
077.O.a,2,077.O.a.2,0.018,2,,,,,,,#DIV/0!,SG,MERGED,#DIV/0!,R
077.O.a,3,077.O.a.3,0.016,1,4,7,1,5,4,4,4.2,SG,,210000,R
077.O.a,4,077.O.a.4,0.016,1,6,10,9,13,8,13,10.6,SG,,53000000,R
077.O.a,5,077.O.a.5,0.038,2,5,13,5,9,12,7,9.2,SG,,4600000,R
077.O.a,6,077.O.a.6,0.129,more than 5,6,11,9,10,15,12,11.4,SG,,57000000,R
077.O.b,1,077.O.b.1,0.007,1,3,3,0,0,0,,0.75,SG,Further incubation,3750,R
077.O.b,2,077.O.b.2,0.024,1,4,64,60,78,68,78,69.6,SG,,3480000,R
077.O.b,3,077.O.b.3,0.027,1,4,102,111,107,126,100,109.2,SG,VERY TINY COLONIES;FURTHER INCUBATED; higher dil suggested,5460000,R
077.O.b,4,077.O.b.4,0.025,1,5,4,2,5,3,4,3.6,SG,,1800000,R
077.O.b,5,077.O.b.5,0.035,2,6,5,5,5,10,4,5.8,SG,,29000000,R
