Strain,Variety,Source_variety,Rep,Label,Tray,Slot,Location,Plantarea_3weeks_cm^2,Chloro_1,Chloro_2,Chloro_3,Chloro_4,Chloro_5,Chloro_check,Chloro_avg,Rootweight_g,Shootweight_g,Nod_lobe,Nod_unlobed,Nodule_Picker,Morphology,NOTES
003,O,ON,b,003_O_b,49,I,49-I,2.383246608,30.6,32.1,30,32.3,39,0.04,32.8,0.121,0.301,17,26,ELP,R,
003,V,ON,b,003_V_b,57,A,57-A,2.84203943,14.3,3.5,20.4,38.9,33.3,11.41,22.08,0.106,0.378,8,6,EMB,R,
003,V,ON,c,003_V_c,100,J,100-J,7.115514861,21.5,22.4,33.9,31.3,55.4,1.43,32.9,0.308,0.461,15,13,EMB,R,
003,O,ON,c,003_O_c,105,F,105-F,3.042365098,42.4,33.8,46.8,40.4,41.4,0.72,40.96,0.29,0.471,17,13,MAG,R,
003,S,ON,c,003_S_c,107,H,107-H,3.396803888,44.1,65.8,45.4,11.4,31.2,12.14,39.58,0.345,0.33,11,8,MAG,R,
003,S,ON,d,003_S_d,115,I,115-I,2.028502382,3.7,28,43.7,33.5,42.9,10.59,30.36,0.195,0.398,6,20,ELP,R,
003,O,ON,d,003_O_d,134,I,134-I,3.520907803,25.1,30.9,42.5,39.9,48.4,1.87,37.36,0.568,0.444,11,26,ELP,R,
003,V,ON,d,003_V_d,141,A,141-A,2.199683544,15.7,13.7,5.6,2.5,2.5,4.27,8,0.262,0.428,10,3,SVG,R,
004,O,ON,a,004_O_a,14,C,14-C,4.39836712,20,33.5,33.3,36.4,47.1,1.75,34.06,0.458,0.51,38,27,LTB,R,
004,S,ON,a,004_S_a,20,E,20-E,5.585503406,5.9,32.1,26,30.2,43.8,6.15,27.6,0.291,0.383,14,9,,                                                                                                                                                                     ,
004,V,ON,a,004_V_a,24,F,24-F,4.883697615,17.3,3.3,25.9,17.9,15.8,5.48,16.04,0.181,0.239,7,21,LTB,R,
004,V,ON,b,004_V_b,51,D,51-D,2.575871334,5.7,9.3,48.1,46,47.2,19.22,31.26,0.284,0.426,12,18,ELP,R,
004,O,ON,b,004_O_b,58,C,58-C,3.827541837,31.4,33.9,41.9,42,48,0.8,39.44,0.266,0.45,14,17,EMB,R,
004,S,ON,b,004_S_b,66,H,66-H,3.913464613,48.1,46.5,NA,55.2,49.5,0.43,49.825,0.171,0.462,11,14,EMB,R,
004,V,ON,c,004_V_c,87,F,87-F,1.82029392,31.4,1,3.6,20.9,27.3,14.7,16.84,0.179,0.383,10,75,MAG,R,
004,S,ON,c,004_S_c,88,D,88-D,6.926454898,40.5,,27.5,37.2,35.1,1.3,35.075,0.576,0.652,23,7,MAG,R,
004,O,ON,c,004_O_c,91,B,91-B,4.3582615,49,4.4,39.9,46.6,42,12.3,36.38,0.386,0.459,8,13,SVG,R,
004,S,ON,d,004_S_d,113,E,113-E,0.292514977,19.3,20.4,22.9,14.1,10.4,0.72,17.42,0.06,0.117,4,18,ELP,R,
004,V,ON,d,004_V_d,126,F,126-F,1.715178458,12,5.5,24.4,18.2,32.9,4.39,18.6,0.091,0.222,10,9,LTB,R,
004,O,ON,d,004_O_d,128,F,128-F,3.939917394,35.5,51.2,51.2,48,52.3,1.2,47.64,0.404,0.467,17,10,ELP,R,
005,S,ON,a,005_S_a,8,F,8-F,4.819841948,28.2,31.8,26.6,13.7,26.1,2.48,25.28,0.267,0.603,17,21,EMB,R,
005,O,ON,a,005_O_a,14,G,14-G,2.842436332,3.5,34.6,35.4,19.8,36.2,9.69,25.9,0.134,0.218,9,8,MAG,R,
005,V,ON,a,005_V_a,17,I,17-I,1.135291095,9.1,3.5,19.6,24.1,29.5,6.34,17.16,0.113,0.154,11,43,EMB,R,
005,O,ON,b,005_O_b,44,D,44-D,0,1,1,1,0.9,0.9,0,0.96,NA,NA,NA,NA,NA,R,DEAD
005,V,ON,b,005_V_b,71,C,71-C,3.376445947,8.7,21.9,30.5,36.3,4.7,5.91,20.42,0.217,0.376,7,45,EMB,R,
005,S,ON,b,005_S_b,71,F,71-F,4.312617341,59.5,65.3,56.1,6,54.5,16.08,48.28,0.581,0.659,19,22,EMB,R,
005,S,ON,c,005_S_c,73,B,73-B,4.26043567,7.8,NA,33,38.2,42,10.04,30.25,0.285,0.513,27,61,LTB,R,
005,O,ON,c,005_O_c,91,G,91-G,2.761564489,23.7,12.8,27.6,11.3,30.6,3.43,21.2,0.192,0.307,7,20,SVG,R,
005,V,ON,c,005_V_c,96,B,96-B,4.400570455,22.1,9.6,31.4,11.4,36.2,5.53,22.14,0.159,0.404,8,28,SVG,R,
005,O,ON,d,005_O_d,111,F,111-F,4.055834925,36.1,42.8,50.6,37.7,38.3,1.02,41.1,0.368,0.489,11,15,ELP,R,
005,V,ON,d,005_V_d,116,J,116-J,3.814726077,22.9,20.5,44.2,36.7,44.7,4.1,33.8,0.202,0.476,28,40,ELP,R,
005,S,ON,d,005_S_d,122,I,122-I,0,1.1,1,1,1,0.9,0,1,NA,NA,NA,NA,,R,DEAD
006,S,ON,a,006_S_a,18,J,18-J,1.352039448,5.5,11,37.1,29.6,39,10.79,24.44,0.104,0.194,16,8,EMB,R,
006,V,ON,a,006_V_a,20,C,20-C,1.943285718,14.1,28.3,33.1,32.2,18.1,2.88,25.16,0.18,0.344,15,13,,R,
006,O,ON,a,006_O_a,23,C,23-C,1.200839687,2.3,33.3,7.8,1.8,40.1,19.69,17.06,0.028,0.048,46,104,EMB,R,
006,V,ON,b,006_V_b,51,H,51-H,0.339981575,1.8,3.4,23.1,13.7,21.2,9.37,12.64,0.082,0.175,7,19,ELP,R,
006,O,ON,b,006_O_b,57,H,57-H,5.615877387,26.1,35.4,14.4,29.1,27.8,2.95,26.56,0.335,0.451,28,14,EMB,R,
006,S,ON,b,006_S_b,70,G,70-G,4.168917587,39.1,47.2,39.4,42.6,46.6,0.34,42.98,0.503,0.57,11,19,EMB,R,
006,O,ON,c,006_O_c,75,A,75-A,4.981097561,27.4,8.2,34.1,31.6,26.2,5.45,25.5,0.294,0.708,14,8,JUS,R,
006,V,ON,c,006_V_c,80,B,80-B,4.429978329,29.1,29.4,20.9,37.2,16.7,1.52,26.66,0.278,0.436,4,12,EMB,R,
006,S,ON,c,006_S_c,101,H,101-H,4.129655381,34.9,NA,30.4,33.6,38.4,0.16,34.325,0.312,0.538,21,63,MAG,R,
006,S,ON,d,006_S_d,128,B,128-B,2.070544257,3.1,26.3,8.3,23.8,25.6,8.48,17.42,0.184,0.37,14,16,ELP,R,
006,V,ON,d,006_V_d,129,H,129-H,3.124169449,6.3,33.6,22.2,35.9,19,7.47,23.4,0.305,0.403,2,39,SVG,R,
006,O,ON,d,006_O_d,131,J,131-J,2.037277293,32,35.5,30.5,31.2,39.1,0.15,33.66,0.127,0.211,10,21,ELP,R,
